Wavelength (nm),Intensity
864.41,4816
870.88,4782
877.36,4803
883.85,4814
890.34,4774
896.84,4826
903.34,4802
909.85,4826
916.37,4858
922.89,4770
929.41,4894
935.95,4867
942.48,4770
949.03,4866
955.58,4858
962.13,4852
968.69,4874
975.25,4874
981.82,4867
988.4,4874
994.98,4910
1001.57,4906
1008.16,4862
1014.75,4910
1021.35,4898
1027.96,4898
1034.57,4850
1041.18,4890
1047.8,4926
1054.43,4946
1061.06,4882
1067.69,4971
1074.33,4946
1080.97,4938
1087.62,4939
1094.27,4986
1100.93,4990
1107.59,5010
1114.26,5026
1120.93,5018
1127.6,5032
1134.28,5016
1140.96,5035
1147.65,5087
1154.34,5094
1161.03,5042
1167.73,5086
1174.43,5118
1181.14,5210
1187.84,5162
1194.56,5210
1201.27,5202
1208,5295
1214.72,5222
1221.45,5310
1228.18,5336
1234.91,5339
1241.65,5352
1248.39,5414
1255.14,5450
1261.88,5410
1268.63,5522
1275.39,5546
1282.15,5570
1288.91,5592
1295.67,5690
1302.44,5726
1309.2,5811
1315.98,5858
1322.75,5858
1329.53,5974
1336.31,6062
1343.09,6066
1349.88,6190
1356.67,6266
1363.46,6367
1370.25,6538
1377.05,6522
1383.84,6650
1390.64,6818
1397.45,7054
1404.25,7227
1411.06,7402
1417.87,7592
1424.68,7938
1431.49,8126
1438.31,8386
1445.13,8730
1451.95,8986
1458.77,9326
1465.59,9642
1472.41,10102
1479.24,10494
1486.07,10798
1492.9,11010
1499.73,11698
1506.56,12050
1513.4,12335
1520.23,13034
1527.07,13522
1533.91,13944
1540.75,14958
1547.59,15082
1554.43,15902
1561.27,16274
1568.12,16739
1574.96,16388
1581.81,17018
1588.66,17096
1595.51,16858
1602.36,17274
1609.21,16735
1616.06,16386
1622.91,16287
1629.76,16072
1636.61,15867
1643.47,16091
1650.32,17003
1657.17,18370
1664.03,19338
1670.88,20336
1677.74,21266
1684.6,21966
1691.45,21786
1698.31,22190
1705.16,23222
1712.02,25606
1718.88,29848
1725.73,35860
1732.59,40590
1739.45,45917
1746.3,50202
1753.16,52856
1760.01,53006
1766.87,51090
1773.72,48989
1780.58,45624
1787.43,40206
1794.29,33278
1801.14,28051
1807.99,24994
1814.84,22560
1821.7,21230
1828.55,20750
1835.4,19775
1842.25,18760
1849.09,17786
1855.94,17026
1862.79,16306
1869.63,15754
1876.48,15242
1883.32,14114
1890.16,13535
1897,12958
1903.84,12126
1910.68,11395
1917.52,10690
1924.35,10170
1931.19,9542
1938.02,9002
1944.85,8522
1951.68,8138
1958.51,7746
1965.33,7499
1972.16,7250
1978.98,7134
1985.8,6846
1992.62,6643
1999.44,6522
2006.25,6415
2013.06,6226
2019.88,6066
2026.68,5990
2033.49,5886
2040.3,5807
2047.1,5690
2053.9,5614
2060.7,5578
2067.49,5490
2074.28,5450
2081.07,5342
2087.86,5374
2094.65,5306
2101.43,5263
2108.21,5251
2114.99,5174
2121.76,5215
2128.53,5122
2135.3,5066
2142.07,5070
2148.83,5070
2155.59,5018
2162.34,5066
2169.1,4883
2175.85,5002
2182.59,4910
2189.34,4938
2196.08,4894
2202.82,4910
2209.55,4815
2216.28,4870
2223.01,4794
2229.73,4846
2236.45,4818
2243.17,4794
2249.88,4734
2256.59,4776
2263.29,4771
2269.99,4771
2276.69,4699
2283.38,4730
2290.07,4718
2296.76,4696
2303.44,4766
2310.12,4698
2316.79,4746
2323.46,4675
2330.12,4714
2336.78,4664
2343.44,4703
2350.09,4696
2356.73,4699
2363.38,4654
2370.01,4682
2376.65,4686
2383.28,4686
2389.9,4666
2396.52,4698
2403.13,4658
2409.74,4671
2416.35,4642
2422.95,4634
2429.54,4698
2436.13,4618
2442.72,4630
2449.3,4654
2455.87,4610
2462.44,4678
2469,4666
2475.56,4650
2482.11,4666
2488.66,4654
2495.2,4635
2501.74,4662
2508.27,4654
2514.8,4659
2521.32,4632
2527.83,4618
2534.34,4650
2540.84,4650
2547.34,4662
2553.83,4696
2560.31,4648
2566.79,4634
2573.27,4639
